Probe	GB3.2
AM00495R	GB42753
AM00516	GB41655
AM00527	GB54804
AM00527R	GB54804
AM00532	GB45355
AM00566	GB55609
AM00566R	GB55609
AM00572	GB47684
AM00572R	GB47684
AM00585	GB40495
AM00590	GB46551
AM00590R	GB46551
AM00615	GB42109
AM00625	GB54293
AM00626	GB54293
AM00626R	GB54293
AM00632	GB48697
AM00632R	GB48697
AM00637	GB48671
AM00637R	GB48671
AM00645	GB49872
AM00645R	GB49872
AM00665	GB50486
AM00665R	GB50486
AM00678	GB49691
AM00678R	GB49691
AM00679	GB49691
AM00679R	GB49691
AM00698	GB43625
AM00699	GB43625
AM00699R	GB43625
AM00710	GB46653
AM00711	GB46653
AM00711R	GB46653
AM00733	GB45965
AM00733R	GB45965
AM00757	GB42728
AM00757R	GB42728
AM00786	GB48643
AM00786R	GB48643
AM00787	GB44215
AM00792	GB41061
AM00792R	GB41061
AM00819	GB43943
AM00824	GB47902
AM00824R	GB47902
AM00834	GB42548
AM00834R	GB42548
AM00838	GB44222
AM00838R	GB44222
AM00843	GB51173
AM00861	GB48882
AM00862	GB48873
AM00862R	GB48873
AM00864	GB49730
AM00864R	GB49730
AM00866	GB45115
AM00866R	GB45115
AM00887	GB44280
AM00888	GB44280
AM00888R	GB44280
AM00889	GB48949
AM00890	GB48949
AM00890R	GB48949
AM00915	GB42494
AM00916	GB42419
AM00916R	GB42419
AM00952	GB46403
AM00956	GB54240
AM00957	GB54240
AM00957R	GB54240
AM00958	GB52262
AM00958R	GB52262
AM00959	GB52262
AM00959R	GB52262
AM00962	GB40913
AM00974	GB41454
AM00974R	GB41454
AM00975	GB41454
AM00975R	GB41454
AM01002	GB51373
AM01003	GB51373
AM01003R	GB51373
AM01016	GB47977
AM01016R	GB47977
AM01017	GB47977
AM01017R	GB47977
AM01067	GB41872
AM01080	GB51954
AM01096	GB50260
AM01136	GB44636
AM01156	GB46247
AM01199	GB44190
AM01206	GB48317
AM01244	GB53376
AM01292	GB45212
AM01294	GB42448
AM01325	GB46263
AM01384	GB53203
AM01466	GB40941
AM01468	GB46582
AM01490	GB53305
AM01560	GB54048
AM01562	GB49857
AM01572	GB54452
AM01574	GB44582
AM01613	GB45101
AM01652	GB42064
AM01674	GB45912
AM01702	GB44437
AM01714	GB46013
AM01720	GB45706
AM01736	GB51994
AM01854	GB45534
AM01878	GB55075
AM01879	GB45625
AM01905	GB51110
AM01980	GB43300
AM02003	GB44175
AM02004	GB48962
AM02009	GB49467
AM02021	GB45169
AM02032	GB46564
AM02062	GB50012
AM02093	GB51748
AM02107	GB45864
AM02130	GB54661
AM02183	GB44652
AM02188	GB45262
AM02196	GB53493
AM02198	GB52492
AM02249	GB47152
AM02250	GB47245
AM02267	GB51435
AM02268	GB52850
AM02277	GB51748
AM02281	GB40092
AM02297	GB40348
AM02310	GB54388
AM02322	GB50941
AM02327	GB49283
AM02365	GB48020
AM02368	GB54654
AM02383	GB46479
AM02407	GB45197
AM02408	GB43217
AM02414	GB43195
AM02439	GB42954
AM02448	GB42140
AM02478	GB45625
AM02484	GB53809
AM02494	GB41589
AM02518	GB48598
AM02526	GB47694
AM02531	GB50209
AM02543	GB42613
AM02544	GB41487
AM02551	GB45569
AM02554	GB44148
AM02560	GB48020
AM02588	GB43841
AM02596	GB41174
AM02602	GB40231
AM02605	GB48060
AM02608	GB43978
AM02612	GB45795
AM02616	GB42836
AM02626	GB44549
AM02627	GB45352
AM02628	GB48923
AM02631	GB42062
AM02632	GB52789
AM02633	GB50984
AM02634	GB54244
AM02635	GB50622
AM02636	GB41751
AM02637	GB54478
AM02638	GB50238
AM02639	GB43234
AM02640	GB47364
AM02641	GB40146
AM02642	GB45814
AM02643	GB53335
AM02644	GB49291
AM02645	GB55613
AM02646	GB48472
AM02647	GB49705
AM02648	GB50429
AM02650	GB46034
AM02651	GB52350
AM02652	GB51278
AM02653	GB50702
AM02654	GB44490
AM02655	GB54823
AM02656	GB55852
AM02657	GB46736
AM02658	GB55574
AM02659	GB43267
AM02660	GB47440
AM02661	GB47976
AM02662	GB52290
AM02663	GB50867
AM02664	GB47618
AM02665	GB45830
AM02666	GB44950
AM02667	GB46008
AM02668	GB45809
AM02669	GB40796
AM02670	GB42024
AM02671	GB46423
AM02672	GB54942
AM02673	GB46465
AM02674	GB43232
AM02675	GB52528
AM02676	GB46441
AM02677	GB49726
AM02678	GB51806
AM02679	GB55370
AM02680	GB50108
AM02681	GB45275
AM02682	GB45635
AM02683	GB53422
AM02684	GB48152
AM02685	GB50566
AM02686	GB51702
AM02687	GB40231
AM02688	GB48552
AM02689	GB50448
AM02690	GB47341
AM02691	GB47575
AM02692	GB54068
AM02693	GB42872
AM02694	GB54987
AM02695	GB42567
AM02696	GB45546
AM02697	GB51712
AM02698	GB55287
AM02699	GB54666
AM02700	GB48439
AM02701	GB44941
AM02702	GB42933
AM02703	GB46835
AM02704	GB54662
AM02705	GB49725
AM02706	GB50245
AM02707	GB50473
AM02708	GB45466
AM02709	GB54605
AM02710	GB51348
AM02711	GB55601
AM02712	GB51774
AM02713	GB44977
AM02714	GB55646
AM02715	GB49281
AM02716	GB54020
AM02717	GB44001
AM02718	GB50392
AM02719	GB43751
AM02720	GB54263
AM02721	GB41680
AM02722	GB53065
AM02723	GB53649
AM02724	GB50132
AM02725	GB48776
AM02726	GB49126
AM02727	GB49982
AM02728	GB45739
AM02729	GB42649
AM02730	GB44189
AM02731	GB53064
AM02732	GB42775
AM02733	GB53143
AM02734	GB43420
AM02735	GB44693
AM02736	GB43817
AM02737	GB45113
AM02738	GB47545
AM02740	GB49132
AM02741	GB44812
AM02742	GB45040
AM02743	GB40599
AM02744	GB44349
AM02745	GB55468
AM02746	GB42942
AM02747	GB50402
AM02748	GB49354
AM02749	GB42079
AM02750	GB41707
AM02751	GB49037
AM02752	GB46739
AM02754	GB44115
AM02755	GB41080
AM02756	GB54851
AM02757	GB45673
AM02758	GB41346
AM02759	GB45134
AM02760	GB49895
AM02761	GB47880
AM02762	GB50115
AM02763	GB43506
AM02764	GB46068
AM02765	GB55810
AM02766	GB44092
AM02767	GB45377
AM02768	GB52285
AM02769	GB54717
AM02770	GB51812
AM02771	GB54982
AM02772	GB42106
AM02773	GB54134
AM02774	GB44885
AM02775	GB50114
AM02776	GB50289
AM02777	GB48118
AM02778	GB41406
AM02780	GB47471
AM02781	GB52646
AM02782	GB51197
AM02783	GB48304
AM02784	GB44514
AM02785	GB48419
AM02786	GB51775
AM02789	GB41326
AM02790	GB45264
AM02791	GB45444
AM02792	GB55645
AM02793	GB50430
AM02794	GB49488
AM02795	GB53567
AM02796	GB46909
AM02797	GB52433
AM02798	GB45880
AM02799	GB55582
AM02800	GB48112
AM02801	GB53171
AM02802	GB41989
AM02803	GB43540
AM02804	GB43520
AM02805	GB45013
AM02806	GB51035
AM02807	GB46513
AM02808	GB55162
AM02809	GB56004
AM02811	GB52106
AM02812	GB45885
AM02813	GB43897
AM02814	GB54728
AM02815	GB52819
AM02816	GB55148
AM02818	GB42057
AM02819	GB42794
AM02820	GB54205
AM02821	GB52813
AM02822	GB55700
AM02823	GB55004
AM02824	GB53268
AM02825	GB52826
AM02826	GB51202
AM02827	GB48816
AM02828	GB44365
AM02829	GB48310
AM02830	GB46915
AM02831	GB48892
AM02832	GB42314
AM02833	GB49414
AM02834	GB44061
AM02835	GB49111
AM02836	GB42769
AM02837	GB49862
AM02838	GB51095
AM02839	GB52589
AM02840	GB47021
AM02841	GB54389
AM02842	GB48871
AM02843	GB45026
AM02844	GB47081
AM02845	GB55744
AM02846	GB54783
AM02847	GB53860
AM02848	GB43591
AM02849	GB41097
AM02850	GB46309
AM02851	GB47435
AM02852	GB53885
AM02853	GB40541
AM02854	GB54145
AM02855	GB42351
AM02856	GB55429
AM02857	GB55059
AM02858	GB40163
AM02859	GB41746
AM02860	GB44247
AM02861	GB50740
AM02862	GB43565
AM02863	GB51633
AM02864	GB53305
AM02865	GB47462
AM02866	GB42844
AM02867	GB50068
AM02868	GB51360
AM02869	GB47481
AM02871	GB51528
AM02872	GB49506
AM02873	GB41459
AM02874	GB40377
AM02875	GB55341
AM02876	GB51344
AM02877	GB48431
AM02878	GB55971
AM02879	GB52007
AM02880	GB53749
AM02881	GB48845
AM02882	GB48922
AM02883	GB43695
AM02884	GB53145
AM02885	GB45267
AM02886	GB46479
AM02887	GB44220
AM02888	GB40084
AM02889	GB49042
AM02890	GB46917
AM02891	GB55495
AM02892	GB55091
AM02893	GB51635
AM02895	GB50435
AM02896	GB51090
AM02897	GB51090
AM02898	GB51090
AM02899	GB51090
AM02900	GB40543
AM02901	GB48982
AM02902	GB52029
AM02903	GB44097
AM02904	GB52588
AM02905	GB44133
AM02906	GB45543
AM02908	GB52660
AM02909	GB44124
AM02910	GB55520
AM02911	GB53089
AM02912	GB42845
AM02913	GB55443
AM02914	GB45731
AM02915	GB51584
AM02916	GB48489
AM02917	GB49981
AM02918	GB45361
AM02919	GB40591
AM02920	GB44880
AM02921	GB45847
AM02922	GB51033
AM02923	GB54204
AM02924	GB45673
AM02925	GB53505
AM02926	GB45389
AM02929	GB41360
AM02930	GB50347
AM02931	GB43034
AM02932	GB46746
AM02933	GB47379
AM02934	GB50920
AM02935	GB55185
AM02936	GB47195
AM02937	GB54741
AM02938	GB43481
AM02939	GB52779
AM02940	GB41283
AM02941	GB40480
AM02942	GB42841
AM02943	GB40150
AM02945	GB42298
AM02946	GB42817
AM02947	GB54158
AM02948	GB53699
AM02949	GB42339
AM02950	GB42170
AM02951	GB42318
AM02952	GB45474
AM02953	GB42378
AM02954	GB54625
AM02955	GB52701
AM02956	GB40230
AM02957	GB51074
AM02958	GB51657
AM02959	GB50044
AM02960	GB54881
AM02961	GB52904
AM02962	GB50286
AM02963	GB47517
AM02964	GB50124
AM02965	GB43043
AM02966	GB40269
AM02967	GB46564
AM02968	GB44876
AM02969	GB49775
AM02970	GB53670
AM02971	GB51284
AM02972	GB41036
AM02973	GB51539
AM02974	GB55298
AM02976	GB40100
AM02977	GB48862
AM02978	GB54359
AM02979	GB55259
AM02980	GB44943
AM02981	GB43147
AM02982	GB43153
AM02983	GB42537
AM02985	GB44112
AM02986	GB44988
AM02987	GB44572
AM02988	GB44673
AM02989	GB41152
AM02990	GB42448
AM02991	GB51484
AM02992	GB40407
AM02993	GB46773
AM02994	GB42487
AM02995	GB40996
AM02996	GB47303
AM02997	GB51909
AM02998	GB53409
AM02999	GB53034
AM03000	GB52000
AM03001	GB44651
AM03003	GB45296
AM03004	GB55877
AM03005	GB44909
AM03006	GB51002
AM03007	GB46641
AM03008	GB53676
AM03009	GB54540
AM03010	GB46581
AM03011	GB46263
AM03012	GB48700
AM03013	GB49099
AM03014	GB51191
AM03015	GB49689
AM03016	GB48336
AM03017	GB54969
AM03018	GB53799
AM03019	GB54544
AM03020	GB41453
AM03021	GB45628
AM03022	GB46952
AM03023	GB49865
AM03024	GB45638
AM03025	GB45909
AM03026	GB44744
AM03027	GB51112
AM03028	GB54114
AM03029	GB50497
AM03030	GB51996
AM03031	GB50427
AM03032	GB47277
AM03033	GB50100
AM03034	GB41143
AM03035	GB53079
AM03037	GB44444
AM03038	GB42906
AM03039	GB45720
AM03040	GB54695
AM03041	GB53729
AM03042	GB42066
AM03043	GB48713
AM03044	GB50269
AM03045	GB45585
AM03046	GB44316
AM03047	GB42672
AM03048	GB52256
AM03049	GB49708
AM03050	GB55627
AM03051	GB55518
AM03052	GB47903
AM03053	GB54422
AM03054	GB42071
AM03055	GB54751
AM03056	GB46587
AM03057	GB41230
AM03058	GB45423
AM03059	GB52697
AM03060	GB47029
AM03061	GB42246
AM03062	GB52989
AM03063	GB42755
AM03064	GB41797
AM03066	GB50757
AM03067	GB50830
AM03068	GB44400
AM03069	GB42426
AM03070	GB46437
AM03071	GB50515
AM03072	GB48958
AM03073	GB48788
AM03074	GB40516
AM03075	GB45029
AM03076	GB41713
AM03077	GB41607
AM03078	GB44787
AM03079	GB50420
AM03080	GB49521
AM03081	GB41773
AM03082	GB40440
AM03083	GB53044
AM03084	GB44067
AM03085	GB50232
AM03086	GB53457
AM03087	GB49268
AM03088	GB45313
AM03089	GB51867
AM03090	GB40802
AM03091	GB51425
AM03092	GB46580
AM03093	GB48993
AM03094	GB46120
AM03095	GB46821
AM03096	GB52343
AM03097	GB53777
AM03098	GB45135
AM03099	GB47320
AM03100	GB54816
AM03101	GB45476
AM03102	GB54967
AM03103	GB52321
AM03104	GB52728
AM03105	GB48330
AM03106	GB41938
AM03107	GB50244
AM03108	GB54906
AM03110	GB41339
AM03111	GB47927
AM03112	GB41085
AM03113	GB55126
AM03114	GB50646
AM03115	GB48524
AM03116	GB46146
AM03117	GB50181
AM03118	GB54789
AM03119	GB46502
AM03120	GB44685
AM03121	GB51630
AM03122	GB41086
AM03123	GB45787
AM03124	GB52144
AM03125	GB42052
AM03126	GB42973
AM03127	GB43876
AM03129	GB54760
AM03130	GB51045
AM03131	GB51045
AM03132	GB41073
AM03133	GB52097
AM03134	GB48432
AM03135	GB41226
AM03136	GB55531
AM03137	GB41603
AM03138	GB48436
AM03139	GB55570
AM03140	GB40338
AM03141	GB52107
AM03142	GB50904
AM03143	GB51158
AM03144	GB44043
AM03145	GB49794
AM03146	GB54151
AM03147	GB55545
AM03148	GB50928
AM03149	GB53582
AM03150	GB42917
AM03151	GB55809
AM03152	GB45076
AM03153	GB50080
AM03154	GB50712
AM03156	GB48098
AM03157	GB49622
AM03158	GB46395
AM03159	GB46509
AM03160	GB45413
AM03161	GB46618
AM03162	GB50253
AM03163	GB46223
AM03164	GB47273
AM03165	GB48674
AM03166	GB54845
AM03167	GB55192
AM03168	GB41769
AM03169	GB52322
AM03170	GB52647
AM03171	GB53674
AM03172	GB45211
AM03173	GB51836
AM03174	GB43882
AM03175	GB41215
AM03176	GB41011
AM03177	GB45749
AM03178	GB52738
AM03179	GB52791
AM03180	GB53736
AM03181	GB45316
AM03182	GB40018
AM03183	GB40159
AM03185	GB41494
AM03186	GB53721
AM03187	GB52028
AM03188	GB42479
AM03189	GB47200
AM03190	GB50973
AM03191	GB41282
AM03192	GB54949
AM03193	GB54905
AM03194	GB49149
AM03195	GB53312
AM03196	GB46956
AM03197	GB42722
AM03198	GB50615
AM03199	GB45357
AM03200	GB47001
AM03201	GB43216
AM03202	GB40359
AM03203	GB46705
AM03204	GB53616
AM03205	GB55626
AM03206	GB47746
AM03207	GB46647
AM03208	GB45254
AM03209	GB55357
AM03210	GB47845
AM03211	GB53578
AM03212	GB43788
AM03213	GB46043
AM03214	GB50652
AM03215	GB49179
AM03216	GB44328
AM03217	GB55440
AM03218	GB46272
AM03219	GB44233
AM03220	GB40986
AM03221	GB53805
AM03222	GB49899
AM03223	GB46040
AM03224	GB54132
AM03225	GB41663
AM03226	GB48225
AM03227	GB42136
AM03228	GB52657
AM03229	GB53336
AM03230	GB53269
AM03231	GB47011
AM03232	GB51706
AM03233	GB45396
AM03234	GB55967
AM03235	GB54916
AM03236	GB54916
AM03237	GB49553
AM03238	GB49944
AM03239	GB44361
AM03240	GB46772
AM03241	GB43440
AM03243	GB48003
AM03244	GB45675
AM03245	GB53206
AM03247	GB42963
AM03248	GB55208
AM03249	GB49029
AM03250	GB47867
AM03251	GB48160
AM03252	GB55595
AM03254	GB50236
AM03255	GB51717
AM03256	GB45532
AM03257	GB55692
AM03258	GB49573
AM03259	GB44016
AM03260	GB51332
AM03261	GB49507
AM03262	GB46646
AM03263	GB50680
AM03264	GB45888
AM03265	GB55955
AM03266	GB48399
AM03267	GB47100
AM03268	GB45088
AM03269	GB51505
AM03270	GB52788
AM03271	GB43377
AM03272	GB41409
AM03273	GB52691
AM03274	GB43095
AM03276	GB47512
AM03277	GB47510
AM03278	GB52511
AM03279	GB42525
AM03280	GB42911
AM03281	GB47452
AM03282	GB44055
AM03283	GB48619
AM03284	GB48124
AM03285	GB41741
AM03286	GB47779
AM03287	GB47829
AM03288	GB44432
AM03289	GB40691
AM03290	GB48121
AM03291	GB51114
AM03292	GB55183
AM03293	GB44723
AM03294	GB50038
AM03295	GB46750
AM03296	GB47477
AM03297	GB43281
AM03298	GB45693
AM03299	GB42200
AM03300	GB53115
AM03301	GB46481
AM03302	GB43360
AM03303	GB53558
AM03304	GB55712
AM03305	GB50496
AM03306	GB40728
AM03307	GB53175
AM03308	GB42612
AM03309	GB49315
AM03310	GB44077
AM03311	GB44559
AM03312	GB52197
AM03313	GB52412
AM03315	GB42375
AM03316	GB44828
AM03318	GB53628
AM03319	GB55070
AM03320	GB46565
AM03321	GB44648
AM03322	GB53055
AM03323	GB42666
AM03324	GB48536
AM03325	GB55569
AM03326	GB47728
AM03327	GB48795
AM03328	GB52886
AM03329	GB54203
AM03330	GB49836
AM03331	GB43874
AM03333	GB50423
AM03334	GB47593
AM03335	GB43053
AM03336	GB49259
AM03337	GB48919
AM03338	GB46496
AM03339	GB44531
AM03340	GB42740
AM03341	GB47461
AM03342	GB54817
AM03343	GB53167
AM03344	GB45249
AM03345	GB50193
AM03346	GB48631
AM03347	GB40426
AM03348	GB53876
AM03349	GB43314
AM03350	GB41890
AM03351	GB42277
AM03352	GB50295
AM03353	GB44011
AM03355	GB52743
AM03356	GB51376
AM03357	GB54222
AM03359	GB44777
AM03360	GB43705
AM03361	GB48254
AM03362	GB53119
AM03363	GB46927
AM03364	GB52915
AM03365	GB46215
AM03366	GB41983
AM03367	GB51355
AM03368	GB44400
AM03369	GB51570
AM03370	GB46464
AM03371	GB55989
AM03372	GB44660
AM03373	GB44044
AM03374	GB40517
AM03375	GB55778
AM03376	GB47057
AM03377	GB55286
AM03378	GB42467
AM03379	GB54742
AM03380	GB40070
AM03381	GB48897
AM03382	GB47430
AM03383	GB44146
AM03384	GB49105
AM03385	GB50735
AM03387	GB41122
AM03388	GB54279
AM03389	GB40227
AM03390	GB43306
AM03391	GB49390
AM03392	GB54141
AM03393	GB44762
AM03394	GB53915
AM03395	GB51755
AM03396	GB42829
AM03398	GB43462
AM03399	GB45400
AM03400	GB46883
AM03401	GB41389
AM03402	GB40072
AM03403	GB48315
AM03404	GB45834
AM03405	GB41412
AM03406	GB50872
AM03407	GB42736
AM03408	GB52601
AM03409	GB53385
AM03410	GB50491
AM03411	GB40747
AM03412	GB44928
AM03414	GB52739
AM03415	GB52057
AM03416	GB45818
AM03417	GB50672
AM03418	GB53440
AM03419	GB47918
AM03420	GB53695
AM03421	GB44878
AM03422	GB45449
AM03423	GB45548
AM03424	GB47466
AM03425	GB45761
AM03426	GB41276
AM03427	GB40823
AM03428	GB52120
AM03430	GB41684
AM03431	GB48866
AM03432	GB42871
AM03433	GB53311
AM03434	GB47660
AM03435	GB45373
AM03436	GB51040
AM03437	GB52262
AM03438	GB40358
AM03439	GB52405
AM03440	GB40312
AM03441	GB55749
AM03442	GB46307
AM03443	GB47734
AM03444	GB49490
AM03445	GB53756
AM03446	GB48966
AM03449	GB52501
AM03450	GB48038
AM03451	GB52662
AM03452	GB47281
AM03453	GB55367
AM03454	GB44010
AM03455	GB43106
AM03456	GB53991
AM03457	GB50995
AM03458	GB45537
AM03459	GB45207
AM03460	GB49934
AM03461	GB50730
AM03462	GB49254
AM03463	GB42724
AM03464	GB40010
AM03466	GB41162
AM03467	GB55171
AM03468	GB48457
AM03469	GB54627
AM03470	GB55885
AM03471	GB42761
AM03472	GB41714
AM03473	GB42155
AM03474	GB48236
AM03475	GB40320
AM03476	GB46290
AM03477	GB44786
AM03478	GB48467
AM03479	GB43572
AM03480	GB51783
AM03481	GB47885
AM03482	GB45740
AM03484	GB48163
AM03485	GB51782
AM03486	GB41150
AM03487	GB52205
AM03488	GB41845
AM03489	GB41648
AM03490	GB42198
AM03491	GB52878
AM03492	GB50077
AM03494	GB51697
AM03495	GB44946
AM03496	GB47460
AM03497	GB44434
AM03498	GB40318
AM03499	GB54341
AM03500	GB46973
AM03501	GB46273
AM03502	GB44883
AM03503	GB44883
AM03504	GB48785
AM03505	GB45887
AM03506	GB42544
AM03507	GB44141
AM03508	GB43637
AM03509	GB49050
AM03510	GB48796
AM03511	GB50360
AM03512	GB50923
AM03513	GB51634
AM03514	GB50924
AM03515	GB40218
AM03516	GB53323
AM03517	GB41928
AM03518	GB50127
AM03519	GB48642
AM03520	GB43230
AM03521	GB53625
AM03522	GB44574
AM03523	GB55969
AM03524	GB41301
AM03525	GB51518
AM03527	GB51504
AM03528	GB47227
AM03529	GB47393
AM03530	GB47270
AM03531	GB49712
AM03532	GB41220
AM03533	GB49960
AM03534	GB40798
AM03535	GB49759
AM03536	GB47458
AM03537	GB53701
AM03538	GB53219
AM03539	GB54087
AM03540	GB54715
AM03541	GB45545
AM03542	GB52158
AM03543	GB46543
AM03544	GB42081
AM03545	GB48055
AM03546	GB50248
AM03547	GB40577
AM03548	GB48465
AM03549	GB42886
AM03550	GB50341
AM03551	GB53037
AM03552	GB46971
AM03553	GB40514
AM03554	GB43702
AM03555	GB52871
AM03556	GB48534
AM03557	GB47235
AM03558	GB49102
AM03559	GB47272
AM03560	GB54147
AM03561	GB42295
AM03562	GB53664
AM03563	GB46306
AM03564	GB47990
AM03565	GB55948
AM03566	GB45824
AM03567	GB52266
AM03568	GB49946
AM03569	GB47552
AM03570	GB50897
AM03571	GB47389
AM03572	GB50413
AM03573	GB54579
AM03574	GB42207
AM03575	GB50777
AM03576	GB55897
AM03577	GB46895
AM03578	GB48709
AM03579	GB51599
AM03580	GB55549
AM03581	GB41259
AM03582	GB52526
AM03583	GB54556
AM03584	GB53186
AM03585	GB40571
AM03586	GB49210
AM03587	GB51506
AM03588	GB50442
AM03589	GB47463
AM03590	GB44080
AM03591	GB40801
AM03592	GB47230
AM03593	GB49537
AM03594	GB54139
AM03595	GB50555
AM03596	GB54446
AM03597	GB52446
AM03598	GB54137
AM03599	GB44789
AM03600	GB40670
AM03601	GB42237
AM03602	GB43483
AM03603	GB49187
AM03604	GB44119
AM03605	GB44119
AM03606	GB42450
AM03607	GB53417
AM03609	GB53011
AM03610	GB50334
AM03611	GB40441
AM03612	GB53333
AM03613	GB40178
AM03614	GB53677
AM03615	GB54216
AM03616	GB49056
AM03617	GB47957
AM03618	GB47957
AM03619	GB47957
AM03620	GB53463
AM03621	GB51220
AM03622	GB43544
AM03623	GB45528
AM03624	GB53018
AM03625	GB50092
AM03626	GB45679
AM03627	GB42856
AM03628	GB44802
AM03629	GB40589
AM03630	GB50097
AM03631	GB50700
AM03632	GB49184
AM03633	GB51219
AM03634	GB54685
AM03635	GB53374
AM03636	GB43840
AM03637	GB47598
AM03638	GB47075
AM03640	GB51117
AM03641	GB45284
AM03642	GB47345
AM03643	GB48101
AM03644	GB50337
AM03645	GB47315
