GB	GBold
GB40328	NULL
GB40329	NULL
GB40330	NULL
GB40331	GB11341
GB40333	NULL
GB40334	NULL
GB40335	GB12800
GB40336	GB12800
GB40337	GB18762
GB40338	NULL
GB40339	NULL
GB40340	NULL
GB40341	GB15134
GB40342	GB12711
GB40343	GB11088
GB40344	GB12505
GB40345	NULL
GB40346	NULL
GB40347	NULL
GB40348	NULL
GB40349	GB11791
GB40350	GB16813
GB40351	NULL
GB40352	NULL
GB40353	NULL
GB40354	NULL
GB40355	GB19950
GB40356	GB17587
GB40357	GB13974
GB40358	GB10813
GB40359	GB10575
GB40360	GB18739
GB40361	GB14093
GB40362	GB15388
GB40363	GB14061
GB40364	GB12466
GB40365	GB15095
GB40366	NULL
GB40367	NULL
GB40368	NULL
GB40369	NULL
GB40370	NULL
GB40372	NULL
GB40373	GB14400
GB40375	NULL
GB40377	GB10247
GB40378	GB14332
GB40379	NULL
GB40381	GB15354
GB40382	GB16407
GB40384	GB16376
GB40385	GB16376
GB40386	GB13916
GB40387	GB11398
GB40388	GB14153
GB40390	GB14819
GB40391	NULL
GB40392	GB19500
GB40393	NULL
GB40394	NULL
GB40395	GB15575
GB40396	NULL
GB40397	NULL
GB40398	GB16584
GB40399	GB12321
GB40400	GB15300
GB40401	GB15300
GB40403	NULL
GB40405	GB14795
GB40406	NULL
GB40407	GB10362
GB40408	GB10362
GB40409	NULL
GB40410	GB13996
GB40411	GB13996
GB40412	GB17104
GB40413	NULL
GB40414	GB11851
GB40415	NULL
GB40416	GB18475
GB40417	NULL
GB40418	NULL
GB40419	NULL
GB40420	GB15150
GB40421	GB15150
GB40422	GB14016
GB40423	NULL
GB40424	GB12866
GB40425	GB17858
GB40426	GB10722
GB40427	NULL
GB40428	GB16765
GB40429	GB17764
GB40430	GB20148
GB40431	GB20148
GB40432	GB11704
GB40433	NULL
GB40434	GB11704
GB40435	NULL
GB40436	GB15805
GB40437	GB11953
GB40438	GB14285
GB40439	GB14094
GB40440	GB10454
GB40441	GB10988
GB40442	GB16827
GB40443	GB17641
GB40444	GB19427
GB40445	GB17330
GB40446	NULL
GB40447	NULL
GB40448	GB15361
GB40449	NULL
GB40450	GB17641
GB40451	GB17641
GB40452	GB12468
GB40453	GB13041
GB40454	GB16677
GB40456	GB19712
GB40457	NULL
GB40459	NULL
GB40460	GB18498
GB40461	GB17282
GB40462	GB17614
GB40463	GB11233
GB40464	NULL
GB40466	GB18938
GB40467	GB20119
GB40468	NULL
GB40469	NULL
GB40470	NULL
GB40471	NULL
GB40472	NULL
GB40473	GB12695
GB40474	NULL
GB40475	NULL
GB40477	NULL
GB40478	GB14562
GB40479	GB18326
GB40480	GB10311
GB40481	GB17324
GB40483	GB13849
GB40485	NULL
GB40486	NULL
GB40489	GB11489
GB40490	GB16584
GB40491	GB16418
GB40492	GB16664
GB40493	GB17823
GB40494	NULL
GB40495	NULL
GB40496	GB19736
GB40497	NULL
GB40498	NULL
GB40500	GB12127
GB40501	NULL
GB40502	NULL
GB40503	GB18599
GB40504	GB11896
GB40505	GB11896
GB40506	NULL
GB40507	GB18615
GB40508	GB18615
GB40509	GB18615
GB40510	GB17895
GB40511	GB19027
GB40512	GB12879
GB40513	GB12879
GB40514	GB10928
GB40515	GB18689
GB40516	NULL
GB40517	GB10749
GB40519	GB14332
GB40520	NULL
GB40521	NULL
GB40522	NULL
GB40523	GB14400
GB40524	NULL
GB40525	NULL
GB40526	NULL
GB40527	NULL
GB40529	NULL
GB40530	NULL
GB40531	NULL
GB40532	NULL
GB40533	NULL
GB40534	NULL
GB40535	GB13870
GB40536	GB14480
GB40537	GB11677
GB40538	GB18809
GB40539	GB17488
GB40540	GB12496
GB40541	GB10226
GB40542	NULL
GB40543	NULL
GB40544	NULL
GB40545	GB18188
GB40546	NULL
GB40547	NULL
GB40548	NULL
GB40549	NULL
GB40550	NULL
GB40552	NULL
GB40553	GB14028
GB40554	GB14028
GB40555	GB17126
GB40556	GB12621
GB40558	GB17451
GB40559	GB17451
GB40560	GB18768
GB40561	GB13392
GB40562	NULL
GB40563	GB16918
GB40564	GB14783
GB40565	GB13245
GB40566	NULL
GB40567	GB19590
GB40572	NULL
GB40573	NULL
GB40574	GB15005
GB40575	GB12338
GB40576	GB12338
GB40577	NULL
GB40578	GB16112
GB40580	GB17725
GB40581	GB12434
GB40582	NULL
GB40583	GB12434
GB40584	NULL
GB40585	NULL
GB40586	NULL
GB40587	NULL
GB40589	GB11005
GB40590	GB19536
GB40591	GB10289
GB40592	GB12447
GB40593	GB11882
GB40594	GB11882
GB40595	NULL
GB40596	GB11120
GB40597	GB17120
GB40598	GB17120
GB40599	GB10115
GB40600	NULL
GB40601	NULL
GB40602	NULL
GB40603	GB13580
GB40604	GB11869
GB40605	NULL
GB40606	NULL
GB40607	NULL
GB40608	NULL
GB40609	NULL
GB40610	NULL
GB40611	GB13872
GB40612	NULL
GB40613	NULL
GB40614	GB12438
GB40615	NULL
GB40616	GB13299
GB40617	NULL
GB40618	NULL
GB40619	GB13594
GB40620	NULL
GB40621	NULL
GB40622	NULL
GB40623	NULL
GB40624	GB11321
GB40625	GB12564
GB40626	GB12564
GB40627	GB18511
GB40629	GB18511
GB40630	NULL
GB40631	NULL
GB40632	NULL
GB40633	NULL
GB40634	GB14167
GB40635	GB12132
GB40636	NULL
GB40637	GB11891
GB40638	GB16533
GB40639	NULL
GB40640	GB14011
GB40641	NULL
GB40642	GB14011
GB40643	GB14011
GB40644	GB14011
GB40645	NULL
GB40646	NULL
GB40647	GB14011
GB40648	GB14011
GB40649	NULL
GB40650	NULL
GB40651	NULL
GB40652	GB15913
GB40653	GB12361
GB40654	GB13742
GB40655	GB11616
GB40656	GB16613
GB40657	GB19121
GB40658	NULL
GB40659	NULL
GB40660	NULL
GB40661	NULL
GB40662	GB17398
GB40663	GB17398
GB40664	NULL
GB40665	NULL
GB40666	NULL
GB40667	NULL
GB40668	GB14942
GB40669	NULL
GB40670	GB10978
GB40671	GB18393
GB40672	GB15872
GB40673	GB13368
GB40674	GB11156
GB40676	GB19870
GB40677	NULL
GB40678	GB12541
GB40679	NULL
GB40680	NULL
GB40681	NULL
GB40682	NULL
GB40683	NULL
GB40684	NULL
GB40685	NULL
GB40686	GB19796
GB40687	NULL
GB40688	NULL
GB40689	GB13057
GB40690	NULL
GB40691	NULL
GB40692	NULL
GB40693	NULL
GB40694	GB13013
GB40695	NULL
GB40696	GB13285
GB40697	GB18161
GB40698	NULL
GB40699	NULL
GB40700	NULL
GB40701	GB12910
GB40702	NULL
GB40703	GB13293
GB40704	GB19143
GB40705	GB14636
GB40706	GB14628
GB40707	GB18795
GB40708	GB14865
GB40709	NULL
GB40710	GB16539
GB40711	GB15831
GB40712	GB12162
GB40713	GB15990
GB40714	NULL
GB40715	NULL
GB40716	GB14244
GB40717	NULL
GB40718	NULL
GB40719	GB20106
GB40720	GB13637
GB40722	GB19920
GB40723	GB19920
GB40724	NULL
GB40726	GB17626
GB40727	GB19096
GB40728	NULL
GB40730	GB19990
GB40731	GB16682
GB40732	GB16658
GB40733	GB14350
GB40734	GB15463
GB40735	GB19460
GB40737	NULL
GB40738	NULL
GB40739	NULL
GB40740	NULL
GB40741	GB16921
GB40743	NULL
GB40744	GB12324
GB40745	GB12934
GB40746	GB13770
GB40747	GB10786
GB40748	GB11231
GB40749	GB14928
GB40750	GB16998
GB40751	GB17490
GB40752	NULL
GB40754	GB15550
GB40755	NULL
GB40756	NULL
GB40757	NULL
GB40758	GB13967
GB40759	GB13967
GB40760	GB18673
GB40761	NULL
GB40762	NULL
GB40763	GB18545
GB40764	GB18545
GB40765	GB11829
GB40766	NULL
GB40767	GB12982
GB40768	NULL
GB40769	GB15506
GB40770	GB15662
GB40771	GB13235
GB40772	GB16080
GB40773	GB16080
GB40774	GB17842
GB40775	GB16024
GB40776	GB19558
GB40777	GB19558
GB40778	GB11143
GB40779	GB11283
GB40780	GB15470
GB40781	GB15763
GB40782	GB15120
GB40783	GB16429
GB40784	GB15476
GB40785	GB17155
GB40787	NULL
GB40788	NULL
GB40789	GB18369
GB40791	NULL
GB40792	GB18369
GB40793	GB18369
GB40794	NULL
GB40795	GB17267
GB40796	GB10041
GB40797	GB18996
GB40798	GB10909
GB40799	NULL
GB40800	GB14961
GB40801	GB10968
GB40802	GB10462
GB40803	NULL
GB40804	GB17605
GB40805	GB12628
GB40806	GB11217
GB40807	GB17645
GB40808	GB19016
GB40809	GB11033
GB40810	GB13512
GB40811	NULL
GB40812	NULL
GB40814	NULL
GB40815	NULL
GB40816	GB14241
GB40817	NULL
GB40818	GB13007
GB40819	NULL
GB40820	NULL
GB40821	NULL
GB40822	NULL
GB40823	GB16571
GB40824	GB18145
GB40827	NULL
GB40828	NULL
GB40829	NULL
GB40830	GB14295
GB40831	GB16367
GB40833	GB16760
GB40834	NULL
GB40836	NULL
GB40837	GB16852
GB40838	GB13443
GB40839	GB20157
GB40841	NULL
GB40842	NULL
GB40843	GB18209
GB40845	GB15008
GB40847	NULL
GB40848	GB15241
GB40849	NULL
GB40850	GB16274
GB40851	NULL
GB40853	GB16274
GB40854	NULL
GB40855	NULL
GB40856	GB16274
GB40857	GB20108
GB40858	GB17141
GB40859	NULL
GB40860	NULL
GB40861	GB12024
GB40862	GB13562
GB40863	NULL
GB40864	NULL
GB40865	NULL
GB40866	GB14852
GB40867	GB15426
GB40868	GB18463
GB40869	NULL
GB40870	NULL
GB40871	GB13762
GB40872	GB13002
GB40873	GB15057
GB40874	GB15374
GB40875	GB14595
GB40876	NULL
GB40877	GB17950
GB40878	GB17650
GB40879	NULL
GB40880	GB15076
GB40881	GB14953
GB40882	GB15692
GB40883	GB17917
GB40884	NULL
GB40885	GB13158
GB40886	GB14031
GB40887	NULL
GB40888	GB18757
GB40890	GB11079
GB40891	GB12591
GB40892	GB16288
GB40893	GB12801
GB40894	GB14880
GB40895	GB18790
GB40896	NULL
GB40901	GB13850
GB40903	GB13850
GB40904	NULL
GB40905	NULL
GB40906	NULL
GB40907	GB16326
GB40908	GB14300
GB40909	GB12251
GB40910	NULL
GB40911	GB18362
GB40912	NULL
GB40913	NULL
GB40914	NULL
GB40915	GB12933
GB40916	GB12933
GB40917	NULL
GB40918	NULL
GB40919	NULL
GB40920	NULL
GB40921	NULL
GB40922	NULL
GB40923	GB15196
GB40925	GB12093
GB40926	GB18027
GB40928	GB18027
GB40929	NULL
GB40930	NULL
GB40931	GB18064
GB40932	NULL
GB40933	NULL
GB40934	GB18245
GB40935	GB18350
GB40936	NULL
GB40937	NULL
GB40938	GB18014
GB40939	GB13920
GB40940	GB14750
GB40941	GB14750
GB40942	NULL
GB40944	GB13576
GB40945	GB11278
GB40946	GB15359
GB40947	GB11338
GB40948	GB14914
GB40949	GB14884
GB40950	NULL
GB40951	NULL
GB40952	NULL
GB40953	NULL
GB40954	NULL
GB40955	GB15009
GB40956	NULL
GB40957	NULL
GB40958	NULL
GB40959	NULL
GB40960	GB13738
GB40961	NULL
GB40962	NULL
GB40963	GB13738
GB40964	GB13738
GB40966	NULL
GB40967	GB15303
GB40968	GB14959
GB40969	NULL
GB40970	GB11443
GB40971	GB11443
GB40972	NULL
GB40973	GB11443
GB40975	GB14080
GB40976	GB14758
GB40977	GB12860
GB40978	GB15168
GB40979	NULL
GB40980	GB13516
GB40983	GB14304
GB40984	NULL
GB40985	NULL
GB40986	GB10593
GB40987	NULL
GB40992	GB10964
GB40993	GB16532
GB40994	GB16532
GB40995	NULL
GB40996	NULL
GB40997	GB12751
GB40998	GB11505
GB40999	GB11129
GB41000	GB11129
GB41001	NULL
GB41002	GB13318
GB41003	GB13318
GB41004	NULL
GB41005	NULL
GB41010	NULL
GB41011	NULL
GB41013	NULL
GB41015	GB19234
GB41016	NULL
GB41018	NULL
GB41022	NULL
GB41023	NULL
GB41024	GB14432
GB41025	NULL
GB41026	GB14397
GB41027	GB17233
GB41028	GB14791
GB41029	GB19960
GB41030	GB11667
GB41031	NULL
GB41032	GB19771
GB41033	GB14306
GB41034	GB11097
GB41035	GB15579
GB41036	GB10342
GB41037	GB18355
GB41038	GB17873
GB41039	GB17564
GB41041	NULL
GB41042	NULL
GB41043	GB19823
GB41044	GB14231
GB41045	GB14231
GB41046	GB19656
GB41047	GB19382
GB41048	GB19382
GB41049	GB19382
GB41050	NULL
GB41051	NULL
GB41052	NULL
GB41053	NULL
GB41055	NULL
GB41056	NULL
GB41057	NULL
GB41058	NULL
GB41059	NULL
GB41060	NULL
GB41061	NULL
GB41063	GB15682
GB41064	GB16424
GB41065	GB16424
GB41066	NULL
GB41067	GB13922
GB41068	GB14723
GB41069	GB16898
GB41070	NULL
GB41071	NULL
GB41072	NULL
GB41073	GB12997
GB41074	GB12682
GB41075	GB19581
GB41076	GB19581
GB41078	GB12898
GB41079	GB16329
GB41080	NULL
GB41081	NULL
GB41082	GB11578
GB41083	GB16875
GB41084	GB14397
GB41085	GB10485
GB41086	NULL
GB41091	NULL
GB41093	NULL
GB41094	NULL
GB41095	NULL
GB41096	NULL
GB41097	GB10222
GB41098	NULL
GB41104	NULL
GB41107	NULL
GB41115	GB13268
GB41116	NULL
GB41117	GB11519
GB41118	GB19956
GB41119	GB11789
GB41120	NULL
GB41121	NULL
GB41122	GB10762
GB41123	NULL
GB41126	GB11252
GB41127	NULL
GB41128	GB20067
GB41129	GB12656
GB41130	NULL
GB41131	NULL
GB41132	NULL
GB41133	NULL
GB41134	GB11495
GB41135	GB15777
GB41136	GB13934
GB41137	NULL
GB41138	GB14174
GB41139	GB13110
GB41140	GB17951
GB41141	GB13820
GB41142	GB14100
GB41143	GB10406
GB41145	NULL
GB41146	GB13144
GB41147	GB16261
GB41148	GB16034
GB41149	NULL
GB41150	GB10861
GB41151	GB12646
GB41152	GB10359
GB41153	GB18640
GB41154	GB13965
GB41155	GB13965
GB41156	GB19869
GB41157	NULL
GB41158	GB17961
GB41159	GB13404
GB41160	NULL
GB41161	GB13269
GB41162	GB10841
GB41163	GB18932
GB41164	GB11368
GB41165	GB18936
GB41166	NULL
GB41167	GB16756
GB41168	GB17851
GB41169	GB16928
GB41170	NULL
GB41171	GB19398
GB41172	GB19398
GB41173	NULL
GB41174	NULL
GB41175	GB11446
GB41176	GB13733
GB41177	GB11960
GB41178	GB18178
GB41179	GB17475
GB41180	NULL
GB41181	GB12272
GB41182	GB14010
GB41183	GB14939
GB41184	NULL
GB41188	GB13921
GB41189	GB11693
GB41191	NULL
GB41192	NULL
GB41193	GB19810
GB41195	GB16041
GB41196	GB12881
GB41197	GB17456
GB41198	GB18874
GB41199	GB17552
GB41201	NULL
GB41202	NULL
GB41203	GB13298
GB41204	NULL
GB41205	NULL
GB41206	NULL
GB41207	GB12953
GB41208	GB17770
GB41209	NULL
GB41210	GB15313
GB41211	GB11485
GB41212	GB15548
GB41213	GB12386
GB41214	GB16750
GB41215	NULL
GB41217	NULL
GB41218	NULL
GB41220	GB10907
GB41221	NULL
GB41222	GB11695
GB41223	GB14980
GB41224	GB17346
GB41225	GB17478
GB41226	GB10508
GB41227	GB17664
GB41228	NULL
GB41230	GB10429
GB41231	GB13798
GB41232	GB14096
GB41233	NULL
GB41234	GB13588
GB41235	GB17542
GB41236	GB11926
GB41237	NULL
GB41238	NULL
GB41239	GB11357
GB41240	GB14542
GB41241	GB11612
GB41242	GB14980
GB41243	GB15851
GB41244	GB12104
GB41246	GB10733
GB41247	NULL
GB41248	NULL
GB41249	NULL
GB41250	NULL
GB41251	NULL
GB41252	GB19720
GB41254	NULL
GB41255	NULL
GB41257	GB19473
GB41258	GB13359
GB41259	NULL
GB41260	GB10958
GB41261	GB10958
GB41262	GB10958
GB41263	GB16045
GB41264	NULL
GB41265	NULL
GB41266	GB11348
GB41267	GB14901
GB41268	NULL
GB41269	NULL
GB41270	NULL
GB41275	GB19337
GB41276	NULL
GB41280	GB15677
GB41281	GB10564
GB41282	GB10564
GB41283	GB10310
GB41284	GB13382
GB41285	GB13382
GB41286	GB15062
GB41287	GB15062
GB41288	GB19477
GB41289	GB16774
GB41290	NULL
GB41291	GB11225
GB41292	GB11531
GB41293	GB15903
GB41294	GB19284
GB41295	GB18227
GB41296	NULL
GB41297	GB16264
GB41300	GB15465
GB41301	GB18683
GB41302	NULL
GB41304	GB12630
GB41305	GB16360
GB41306	NULL
GB41308	NULL
GB41310	GB12614
GB41311	NULL
GB41312	NULL
GB41313	GB19644
GB41314	GB18735
GB41315	GB18735
GB41316	NULL
GB41317	NULL
GB41318	NULL
GB41319	NULL
GB41320	NULL
GB41321	NULL
GB41322	NULL
GB41324	NULL
GB41325	NULL
GB41326	GB10161
GB41328	NULL
GB41329	NULL
GB41330	GB13715
GB41331	NULL
GB41332	GB11983
GB41333	GB16969
GB41334	GB18607
GB41335	GB11329
GB41336	GB18614
GB41337	GB18614
GB41338	GB12546
GB41339	GB10483
GB41340	NULL
GB41341	GB16689
GB41342	GB12635
GB41343	GB11050
GB41344	GB14872
GB41345	GB18198
GB41346	GB10130
GB41347	GB13327
GB41348	GB13327
GB41352	GB18808
GB41353	NULL
GB41354	NULL
GB41355	NULL
GB41356	GB18808
GB41358	GB16844
GB41359	GB11759
GB41360	GB10299
GB41361	GB18966
GB41362	GB19124
GB41363	GB19878
GB41364	GB15574
GB41365	GB17194
GB41366	GB17194
GB41367	GB16320
GB41368	GB18972
GB41369	GB16450
GB41371	GB18225
GB41372	GB18225
GB41373	GB20151
GB41374	NULL
GB41376	NULL
GB41377	NULL
GB41378	NULL
GB41385	GB15121
GB41386	GB15121
GB41387	GB11613
GB41388	GB11613
GB41389	NULL
GB41390	NULL
GB41391	NULL
GB41392	GB11598
GB41394	NULL
GB41395	NULL
GB41396	NULL
GB41397	GB14509
GB41398	GB12325
GB41399	GB12300
GB41400	GB11250
GB41401	GB11250
GB41402	NULL
GB41403	GB12689
GB41405	GB12689
GB41406	GB10150
GB41407	GB14644
GB41408	NULL
GB41409	NULL
GB41410	GB13397
GB41411	NULL
GB41412	GB10780
GB41413	GB10498
GB41414	GB18698
GB41415	NULL
GB41416	NULL
GB41417	GB17982
GB41418	NULL
GB41419	GB11909
GB41420	NULL
GB41421	NULL
GB41422	NULL
GB41423	NULL
GB41424	GB15356
GB41425	GB15356
GB41426	NULL
GB41427	GB11648
GB41428	GB19392
GB41429	NULL
GB41430	GB18341
GB41431	NULL
GB41432	NULL
GB41433	NULL
GB41434	NULL
GB41435	NULL
GB41436	NULL
GB41437	NULL
GB41438	NULL
GB41439	GB18663
GB41440	NULL
GB41441	GB15198
GB41442	GB11786
GB41443	NULL
GB41444	GB17399
GB41445	GB17399
GB41446	GB15986
GB41447	GB11038
GB41448	GB14228
GB41449	GB17948
GB41450	NULL
GB41451	NULL
GB41452	GB11161
GB41453	GB10392
GB41454	NULL
GB41455	GB19708
GB41456	GB16053
GB41457	NULL
GB41458	NULL
GB41459	NULL
GB41460	NULL
GB41461	NULL
GB41462	NULL
GB41463	NULL
GB41464	GB12892
GB41465	GB18226
GB41466	GB18226
GB41467	GB17638
GB41468	NULL
GB41469	GB17411
GB41470	GB14252
GB41471	NULL
GB41472	GB18629
GB41474	NULL
GB41475	NULL
GB41476	NULL
GB41478	NULL
GB41479	NULL
GB41480	NULL
GB41481	NULL
GB41483	GB16053
GB41484	NULL
GB41485	GB15377
GB41486	GB18267
GB41487	NULL
GB41488	NULL
GB41489	GB15553
GB41490	NULL
GB41491	GB20096
GB41492	GB16932
GB41493	NULL
GB41494	NULL
GB41495	NULL
GB41497	NULL
GB41498	NULL
GB41499	GB19566
GB41500	NULL
GB41502	NULL
GB41503	NULL
GB41504	NULL
GB41505	GB15419
GB41506	NULL
GB41507	GB15419
GB41508	GB15419
GB41510	NULL
GB41512	NULL
GB41513	NULL
GB41514	NULL
GB41515	NULL
GB41516	GB13468
GB41517	NULL
GB41518	NULL
GB41519	GB11082
GB41520	GB13456
GB41521	GB17545
GB41522	NULL
GB41523	GB13823
GB41524	NULL
GB41525	GB12189
GB41526	NULL
GB41527	NULL
GB41529	NULL
GB41530	GB10842
GB41540	GB18660
GB41541	NULL
GB41542	NULL
GB41543	GB14647
GB41544	NULL
GB41545	GB15179
GB41546	GB19633
GB41547	GB19633
GB41549	GB18140
GB41550	NULL
GB41552	NULL
GB41553	GB13437
GB41556	NULL
GB41557	NULL
GB41558	NULL
GB41559	NULL
GB41560	GB11729
GB41562	GB11729
GB41563	NULL
GB41564	GB11729
GB41565	NULL
GB41567	GB15401
GB41568	GB11729
GB41569	GB11615
GB41575	NULL
GB41576	NULL
GB41579	GB11236
GB41580	NULL
GB41581	NULL
GB41583	GB14029
GB41584	GB18616
GB41589	NULL
GB41590	NULL
GB41591	GB18480
GB41592	GB12604
GB41593	NULL
GB41594	NULL
GB41595	NULL
GB41596	GB18040
GB41597	GB11819
GB41598	GB14337
GB41599	NULL
GB41600	GB17470
GB41601	NULL
GB41602	GB19766
GB41603	GB10510
GB41604	GB17906
GB41606	GB18650
GB41607	GB10449
GB41608	GB20023
GB41609	GB15485
GB41610	GB16490
GB41611	NULL
GB41613	NULL
GB41615	GB11259
GB41616	GB11259
GB41617	GB19981
GB41618	NULL
GB41619	NULL
GB41620	NULL
GB41621	NULL
GB41622	NULL
GB41623	NULL
GB41624	GB19175
GB41625	GB17331
GB41626	NULL
GB41627	GB20099
GB41628	GB18465
GB41629	GB12585
GB41630	GB12585
GB41631	GB14114
GB41632	GB12978
GB41633	NULL
GB41634	GB18026
GB41635	NULL
GB41636	NULL
GB41637	NULL
GB41638	NULL
GB41639	GB12658
GB41640	GB13061
GB41641	NULL
GB41642	GB12718
GB41643	GB13493
GB41645	GB15344
GB41646	GB12714
GB41647	GB19951
GB41648	NULL
GB41649	GB15058
GB41650	GB15058
GB41651	GB15079
GB41652	NULL
GB41653	GB11324
GB41654	GB11734
GB41655	NULL
GB41656	NULL
GB41657	NULL
GB41658	NULL
GB41659	GB17412
GB41660	GB13169
GB41661	GB13169
GB41662	GB18745
GB41663	GB10598
GB41664	GB17465
GB41665	NULL
GB41666	NULL
GB41667	GB18213
GB41668	GB11520
GB41669	GB15066
GB41670	GB19693
GB41671	GB14563
GB41672	GB15083
GB41673	GB13251
GB41674	GB13251
GB41676	NULL
GB41677	GB13063
GB41678	GB10093
GB41679	GB10093
GB41680	GB10093
GB41681	GB12561
GB41684	GB10805
GB41686	GB13864
GB41687	GB18897
GB41688	GB18897
GB41689	GB19953
GB41690	GB19560
GB41691	GB15678
GB41692	GB12193
